,FIPS,exposure1,exposure2,exposure3,exposure4
0,17027900601,0.0002725993110882438,5.0516254118171664e-05,9.537793699264865e-05,0.0003022381687498962
0,17027900602,0.001551141628534148,0.0002874470385397995,0.0005463683426327495,0.0017138175730439613
0,17031010100,0.0007078519599206366,0.0004171025678503873,0.0007321127505520945,0.0005729731557324827
0,17031010201,0.0009069572511614553,0.0005344255858702224,0.0009366761028667261,0.0007332952618493984
0,17031010202,0.00022432382649579968,0.00013218306843695585,0.00023145569848406837,0.00018126174765856413
0,17031010300,0.0014619480737382922,0.0008614545556793206,0.0015084613182942545,0.0011811146339497961
0,17031010400,0.0009675234323177662,0.0005701142766072256,0.0009989723189648104,0.0007818731754665357
0,17031010501,0.0007956517818002692,0.0004688387121804907,0.0008212124967969152,0.0006433378826546436
0,17031010502,0.00040153658036227216,0.0002366058840520054,0.0004145122188145497,0.0003246414883742672
0,17031010503,0.00012208905353362277,7.194111285784539e-05,0.00012607168353873357,9.872567977569027e-05
0,17031010600,0.001729362237992358,0.0010190286543686027,0.0017848837264763117,0.001397684819568852
0,17031010701,0.0004260742412171675,0.00025106472845891597,0.00043948971135598165,0.0003439065581212746
0,17031010702,0.0007111160395934391,0.00041902593048873766,0.0007342292073222081,0.0005750420594109985
0,17031020100,0.000826910215231345,0.000487257779428033,0.0008606717802920978,0.0006712588226566371
0,17031020200,0.0011429108724091994,0.000673461524016196,0.0011794183212170486,0.0009231561032781144
0,17031020301,0.0005658042603819233,0.00033340080026401193,0.0005840788457668462,0.0004574549838741131
0,17031020302,0.0004540994361096046,0.00026757860624128914,0.00046881445727355335,0.0003670812331699226
0,17031020400,0.00038191618153378594,0.00022504454185479262,0.0003941965690291502,0.00030858427102325536
0,17031020500,0.0009529469123699088,0.0005615250457442416,0.0009832561718866018,0.0007700701702529919
0,17031020601,0.0007320486236733254,0.0004313604793292088,0.0007555228598179622,0.0005916810101168539
0,17031020602,0.00024884295381787113,0.00014663099193869066,0.00025693157439903534,0.00020117173852972516
0,17031020701,4.053609995813421e-05,2.3885942740164748e-05,4.1853722689141854e-05,3.277053891492153e-05
0,17031020702,0.0008116168537179936,0.0004782461488619469,0.0008363131135820189,0.0006548812603669579
0,17031020801,0.00047190685478308016,0.0002780716478319719,0.00048727261178688544,0.00038135547071945256
0,17031020802,0.0007579725369539164,0.0004466361745455892,0.0007816999347585469,0.0006119261326722839
0,17031020901,0.000697854996197607,0.00041121184567162754,0.000720107395729521,0.0005638506926826717
0,17031020902,0.0006115153967421829,0.00036033613905626574,0.000631176132434487,0.0004942801485490766
0,17031030101,0.0012517778640439494,0.0007376115219480965,0.001291886051549936,0.0010115811856494198
0,17031030102,0.0008447079782722737,0.0004977451314263178,0.000871987029550381,0.000682620509611978
0,17031030103,0.0002611369252138005,0.00015387522848625402,0.000269767609859977,0.00021116144793267367
0,17031030104,0.0005095216881850417,0.00030023623095042757,0.0005256816979188208,0.00041151226207986513
0,17031030200,0.0009959184584504878,0.000586846077866156,0.0010272677149846979,0.0008062054920248482
0,17031030300,0.0002703196816639747,0.00015928617810874525,0.00027912690652892336,0.00021857099597391214
0,17031030400,0.00017436513897463733,0.00010274485531983958,0.0001798807044107676,0.00014087790623477104
0,17031030500,0.0018264543389227591,0.0010762402846374523,0.0018848927692032157,0.0014759009837451817
0,17031030601,0.001013063210223862,0.000596948642236584,0.0010458834400637036,0.0008187193870368815
0,17031030603,0.0003435288801908185,0.00020242478112856194,0.0003544887791834822,0.0002775572472803777
0,17031030604,0.0009937028427765696,0.0005855405238247944,0.0010256140892059811,0.0008030578993388796
0,17031030701,0.00015873345317661596,9.353386678642366e-05,0.00016389307154870527,0.00012832464913488408
